file_path,whisper_text,pathumma_text,speaker
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0000.wav,คือเรื่องที่เราพูดกันวันเนี้ยมันมาจากใจแล้วหนูไม่เคยพูดที่ไหนมาก่อนNew Chapter ของ Lisa ใน 1 ปีที่ผ่านมา,คือเรื่องที่เราพูดกันวันนี้มันมาจากใจแล้วหนูไม่เคยพูดที่ไหนมาก่อน New Chapter ของลิซ่าใน 1 ปีที่ผ่านมา,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0001.wav,มันก็คือละไฟหอดRoller Coaster Rideเอาจริงๆ ตอนนั้นยอมรับเลยว่า,มันก็คือระไฟเหาะเนอะรอเลอคอสเตอร์ไหว้เอาจริงจริงตอนนั้นยอมรับเลยว่า,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0002.wav,เครียด,เครียด,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0003.wav,เหมือนมันมองไม่เห็นอนาคต giving me any prior attentionกันอันไกลแค่แบบเดือนหน้า kin agianเราก็ไม่รู้ว่ามันจะออกมาเป็นรูป Anhain,เหมือนมันมองไม่เห็นอนาคตอันใกล้ แค่แบบเดือนหน้าเราก็ไม่รู้ว่ามันจะออกมาเป็นรูปแบบไหน เราไม่มีคนที่จะถามปรึกษา เรามีแค่ทีมเราแค่นั้น แต่มันไม่มีการันตีว่ามันจะโอเค มันจะเวิร์คใช่ไหมสรุปแล้ว,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0004.wav,เราทำเต็มที่แล้ว เราภูมิใจในของเราอืมแต่มันก็จะมีบางคอมเม้นท์ที่มันทำให้เรารู้สึก,เราทำเต็มที่แล้วเราภูมิใจในของเราแต่มันก็จะมีบางคอมเมนต์ที่มันทำให้เรารู้สึก,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0005.wav,บั่นทอนจิตใจแล้วว่า เราทำไม่ดีเหรอ,บั่นทอนจิตใจแล้วว่าแบบเฮ้ยเราทำไม่ดีเหรอ,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0006.wav,หนูไม่เคยเล่าที่ไหนเลยปีที่แล้วเพิ่งจะมีซาแซงเป็นครั้งแรกก็เลยกลายเป็นว่าเริ่มกังวลแล้วเพราะว่า,หนูไม่เคยเล่าที่ไหนเลยปีที่แล้วเพิ่งจะมีซาแซงเป็นครั้งแรกก็เลยกลายเป็นว่าเริ่มกังวลแล้วเพราะว่า,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0007.wav,มันอยู่คนเดียวอะ รู้สึกไม่ปลอดภัย,มันอยู่คนเดียวรู้สึกไม่ปลอดภัย,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0008.wav,ถึงจะมีลับคอยเขาให้ reinforced guyมันเป็นช่วงหนึ่งเลยที่ผมให้พี่เพื่อนมูลใครของกลุ่ม Forumไม่รู้เรื่องนี้มาก่อนเลยมันเลยทำให้รู้สึกว่า เขาจะทำอะไรกับผม��รึเปล่า craterI get it now1977.07.23. มา heißt,ถึงจะมีเลิฟคอยเห่าให้หรืออะไรอย่างเงี้ยคือมันเป็นช่วงนึงเลยที่หนูต้องให้พี่เมเนเจอร์ที่เป็นผู้หญิงอะค่ะมาอยู่กับเพื่อนเลยอ่ะไม่ไม่รู้เรื่องนี้มาก่อนเลยอ่ะมันเลยทำให้หนูรู้สึกแบบอ๋อเขาจะทำอะไรหนูหรือเปล่าอ๋อ,Lisa
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0009.wav,เป็นครั้งแรกเลยที่ได้มานั่งสัมภาษณ์กันแบบ,เป็นครั้งแรกเลยที่ได้มานั่งสัมภาษณ์กันแบบ,Lisa
