file_path,whisper_text,pathumma_text,speaker,whisper_phonemes,pathumma_phonemes
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0000.wav,คือเรื่องที่เราพูดกันวันเนี้ยมันมาจากใจแล้วหนูไม่เคยพูดที่ไหนมาก่อนNew Chapter ของ Lisa ใน 1 ปีที่ผ่านมา,คือเรื่องที่เราพูดกันวันนี้มันมาจากใจแล้วหนูไม่เคยพูดที่ไหนมาก่อน New Chapter ของลิซ่าใน 1 ปีที่ผ่านมา,Lisa,"[1, 628, 4, 30, 16, 61, 66, 36, 4, 390, 4, 52, 49, 64, 17, 4, 5390, 4, 4, 1994, 2]","[1, 627, 4, 55, 71, 4, 30, 16, 61, 66, 36, 4, 383, 4, 4, 1994, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0001.wav,มันก็คือละไฟหอดRoller Coaster Rideเอาจริงๆ ตอนนั้นยอมรับเลยว่า,มันก็คือระไฟเหาะเนอะรอเลอคอสเตอร์ไหว้เอาจริงจริงตอนนั้นยอมรับเลยว่า,Lisa,"[1, 2427, 4, 51, 58, 64, 66, 36, 4, 2918, 4, 1308, 2]","[1, 2408, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0002.wav,เครียด,เครียด,Lisa,"[1, 3946, 2]","[1, 3946, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0003.wav,เหมือนมันมองไม่เห็นอนาคต giving me any prior attentionกันอันไกลแค่แบบเดือนหน้า kin agianเราก็ไม่รู้ว่ามันจะออกมาเป็นรูป Anhain,เหมือนมันมองไม่เห็นอนาคตอันใกล้ แค่แบบเดือนหน้าเราก็ไม่รู้ว่ามันจะออกมาเป็นรูปแบบไหน เราไม่มีคนที่จะถามปรึกษา เรามีแค่ทีมเราแค่นั้น แต่มันไม่มีการันตีว่ามันจะโอเค มันจะเวิร์คใช่ไหมสรุปแล้ว,Lisa,"[1, 4513, 4, 42, 46, 72, 44, 54, 4, 53, 49, 4, 35, 55, 47, 4, 61, 62, 28, 36, 4, 789, 4, 51, 46, 55, 4, 2845, 4, 16, 55, 43, 26, 55, 2]","[1, 4508, 4, 4615, 4, 4381, 4, 4335, 4, 4721, 4, 2467, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0004.wav,เราทำเต็มที่แล้ว เราภูมิใจในของเราอืมแต่มันก็จะมีบางคอมเม้นท์ที่มันทำให้เรารู้สึก,เราทำเต็มที่แล้วเราภูมิใจในของเราแต่มันก็จะมีบางคอมเมนต์ที่มันทำให้เรารู้สึก,Lisa,"[1, 4331, 4, 4340, 2]","[1, 3976, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0005.wav,บั่นทอนจิตใจแล้วว่า เราทำไม่ดีเหรอ,บั่นทอนจิตใจแล้วว่าแบบเฮ้ยเราทำไม่ดีเหรอ,Lisa,"[1, 1896, 4, 3982, 2]","[1, 1901, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0006.wav,หนูไม่เคยเล่าที่ไหนเลยปีที่แล้วเพิ่งจะมีซาแซงเป็นครั้งแรกก็เลยกลายเป็นว่าเริ่มกังวลแล้วเพราะว่า,หนูไม่เคยเล่าที่ไหนเลยปีที่แล้วเพิ่งจะมีซาแซงเป็นครั้งแรกก็เลยกลายเป็นว่าเริ่มกังวลแล้วเพราะว่า,Lisa,"[1, 3313, 2]","[1, 3313, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0007.wav,มันอยู่คนเดียวอะ รู้สึกไม่ปลอดภัย,มันอยู่คนเดียวรู้สึกไม่ปลอดภัย,Lisa,"[1, 2520, 4, 2878, 2]","[1, 2521, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0008.wav,ถึงจะมีลับคอยเขาให้ reinforced guyมันเป็นช่วงหนึ่งเลยที่ผมให้พี่เพื่อนมูลใครของกลุ่ม Forumไม่รู้เรื่องนี้มาก่อนเลยมันเลยทำให้รู้สึกว่า เขาจะทำอะไรกับผม��รึเปล่า craterI get it now1977.07.23. มา heißt,ถึงจะมีเลิฟคอยเห่าให้หรืออะไรอย่างเงี้ยคือมันเป็นช่วงนึงเลยที่หนูต้องให้พี่เมเนเจอร์ที่เป็นผู้หญิงอะค่ะมาอยู่กับเพื่อนเลยอ่ะไม่ไม่รู้เรื่องนี้มาก่อนเลยอ่ะมันเลยทำให้หนูรู้สึกแบบอ๋อเขาจะทำอะไรหนูหรือเปล่าอ๋อ,Lisa,"[1, 1457, 4, 62, 48, 44, 55, 41, 22, 62, 64, 66, 4, 2730, 4, 2352, 4, 3822, 4, 51, 62, 17, 66, 35, 62, 47, 4, 42, 35, 66, 4, 46, 66, 4, 55, 12, 55, 44, 55, 35, 66, 55, 47, 64, 35, 72, 17, 55, 64, 66, 48, 55, 64, 61, 60, 55, 66, 64, 44, 72, 35, 55, 66, 41, 17, 55, 66, 62, 47, 7, 65, 62, 49, 9, 4, 2643, 4, 43, 28, 66, 2]","[1, 5215, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0009.wav,เป็นครั้งแรกเลยที่ได้มานั่งสัมภาษณ์กันแบบ,เป็นครั้งแรกเลยที่ได้มานั่งสัมภาษณ์กันแบบ,Lisa,"[1, 4098, 2]","[1, 4098, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0010.wav,ได้นอน คือเวลาได้นอนส่วนใหญ่จะเป็นบนเครื่อง,ได้นอนอืมคือเวลาได้นอนส่วนใหญ่เนี้ยจะเป็นบนเครื่อง,Lisa,"[1, 1208, 4, 641, 2]","[1, 5362, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0011.wav,ก็ไม่รู้เหมือนกันว่าตัวเองไฟล์มาได้ยังไง แต่ว่ามันเป็นความรู้สึกที่,ก็ไม่รู้เหมือนกันว่าตัวเองไฟล์มาได้ยังไงแต่ว่ามันเป็นความรู้สึกที่,Lisa,"[1, 247, 4, 4734, 2]","[1, 279, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0012.wav,ใช้ 1 ปีได้คุ้ม,ใช้หนึ่งปีได้คุ้ม,Lisa,"[1, 5360, 4, 4, 2019, 2]","[1, 5355, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0013.wav,มากๆ,มาก,Lisa,"[1, 2610, 2]","[1, 2661, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0014.wav,ได้รองอะไรที่ไม่เคยทำ ได้แสดงเป็นครั้งแรก,ได้รองอะไรที่ไม่เคยได้ไม่เคยทำได้แสดงเป็นครั้งแรกเออ,Lisa,"[1, 1212, 4, 1214, 2]","[1, 5364, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0015.wav,เราก็ได้,แล้วก็ได้เอ่อ,Lisa,"[1, 4295, 2]","[1, 5015, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0016.wav,ออเดอร์ทุกครั้งมันเป็นอะไรที่,ออเดอร์ทุกครั้งอะค่ะมันเป็นอะไรที่,Lisa,"[1, 3490, 2]","[1, 3491, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0017.wav,คือหนูเป็นคนชอบดีเซิร์ตอยู่แล้วแล้วพอเรากินอาหารมื้อนึงเนี่ยมันจะต้องจบที่ดีเซิร์ตตลอด,คือหนูเป็นคนชอบดีเสิร์ตอยู่แล้วแล้วพอเรากินอาหารมื้อหนึ่งเนี่ยมันจะต้องจบที่ดีเสิร์ตตลอดอืม,Lisa,"[1, 574, 2]","[1, 575, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0018.wav,เราต้องเป็นข้าวเหนียวหมะมวง มันถึงจะทำให้รู้สึกว่ามัน complete แล้ว New นี้,เราต้องเป็นข้าวเหนียวมะม่วงมันถึงจะทำให้รู้สึกว่ามันคอมพลีตแล้วมิวนีอ่ะ,Lisa,"[1, 4323, 4, 2487, 4, 51, 17, 53, 61, 52, 49, 66, 4, 5182, 4, 55, 71, 4, 1829, 2]","[1, 4322, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0019.wav,ขนมไทย หนูไม่รู้ว่าเขาเรียกว่าขนมอะไรค่ะที่มันเป็นแบบสีเขียวๆแล้วเป็นเหมือนใบบัว,ขนมไทยหนูไม่รู้ว่าเขาเรียกว่าขนมอะไรค่ะที่มันเป็นแบบสีเขียวเขียวแล้วเป็นเหมือนใบใบบัวอืม,Lisa,"[1, 404, 4, 3309, 2]","[1, 403, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0020.wav,คือคุณตาชอบขนมอันนี้มาก,คือคุณตาชอบขนมอันนี้มาก,Lisa,"[1, 556, 2]","[1, 556, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0021.wav,แล้วทุกๆครั้งที่ก่อนที่จะแวะไปบ้านคุณตาก็จะแวะตลาดแล้วก็จะซื้อ,แล้วทุกครั้งที่ก่อนที่จะแวะไปบ้านคุณตาก็จะแวะตลาดแล้วก็จะซื้อ,Lisa,"[1, 5077, 2]","[1, 5078, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0022.wav,ขนมอันเนี้ย เออ ไปให้คุณตา เออ ทานแล้วหนูก็จะแบบ หนูก็จะชอบแบบ,ขนมอันเนี้ยเออไปให้คุณตาเออทานแล้วหนูก็จะแบบหนูก็จะชอบแบบ,Lisa,"[1, 402, 4, 4537, 4, 5407, 4, 4537, 4, 1577, 4, 3268, 2]","[1, 399, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0023.wav,แอบกินหนูก็ชอบลองอะไรอย่างนี้ แล้วมันเป็นอะไรที่แบบ,แอบกินหนูก็ชอบลองอะไรอย่างเงี้แล้วมันเป็นอะไรที่แบบ,Lisa,"[1, 5206, 4, 5100, 2]","[1, 5205, 2]"
Lisa/dataset/5QmaVImK37w/SPEAKER_06_sent_0024.wav,มันอร่อยแล้วมันหายาก,มันอร่อยแล้วมันหายาก,Lisa,"[1, 2525, 2]","[1, 2525, 2]"
